scenario,accuracy,f1_macro,ks_drift_ratio
baseline,0.6180555555555556,0.5986360949038574,0.0167
noise,0.13541666666666666,0.11369325253661122,0.7042
speaker_split,0.9166666666666666,0.9166659777363011,0.9667
