timestamp,label,precision,recall,f1_score,support
2026-06-04 16:14:31,neutral,0.7,0.3684210526315789,0.4827586206896552,19.0
2026-06-04 16:14:31,calm,0.6595744680851063,0.8157894736842105,0.7294117647058823,38.0
2026-06-04 16:14:31,happy,0.48,0.6153846153846154,0.5393258426966292,39.0
2026-06-04 16:14:31,sad,0.5652173913043478,0.34210526315789475,0.4262295081967213,38.0
2026-06-04 16:14:31,angry,0.7631578947368421,0.7631578947368421,0.7631578947368421,38.0
2026-06-04 16:14:31,fearful,0.6111111111111112,0.5641025641025641,0.5866666666666667,39.0
2026-06-04 16:14:31,disgust,0.5625,0.47368421052631576,0.5142857142857142,38.0
2026-06-04 16:14:31,surprised,0.6538461538461539,0.8717948717948718,0.7472527472527473,39.0
2026-06-04 16:14:31,accuracy,0.6180555555555556,0.6180555555555556,0.6180555555555556,0.6180555555555556
2026-06-04 16:14:31,macro avg,0.6244258773854452,0.6018049932523617,0.5986360949038574,288.0
2026-06-04 16:14:31,weighted avg,0.6189945277435159,0.6180555555555556,0.6065493205357124,288.0
