feature,ks_statistic,ks_pvalue,ks_drift,wasserstein_dist,wasserstein_drift,ref_mean,inc_mean,mean_shift
mfcc_66,0.024306,0.998972,False,0.100162,True,8.7074,8.7063,0.0011
mfcc_67,0.076389,0.131766,False,0.258555,True,8.352,8.5197,0.1678
mfcc_68,0.037326,0.898215,False,0.121127,True,8.2784,8.3056,0.0272
mfcc_69,0.0625,0.321281,False,0.244087,True,7.9558,8.0224,0.0666
mfcc_70,0.059896,0.371649,False,0.251462,True,7.7064,7.8515,0.1451
mfcc_71,0.082465,0.084218,False,0.388565,True,7.18,7.3974,0.2174
mfcc_72,0.068576,0.222615,False,0.334195,True,6.7247,6.8279,0.1032
mfcc_73,0.05816,0.407872,False,0.27797,True,6.5008,6.6233,0.1225
mfcc_74,0.068576,0.222615,False,0.196535,True,6.6455,6.6458,0.0003
mfcc_75,0.077257,0.123866,False,0.274776,True,6.3357,6.4073,0.0716
mfcc_76,0.102431,0.015191,True,0.374575,True,6.2807,6.3552,0.0745
mfcc_77,0.110243,0.007025,True,0.350706,True,6.0321,6.1544,0.1223
mfcc_78,0.104167,0.012861,True,0.325121,True,5.8646,5.923,0.0585
mfcc_79,0.112847,0.005364,True,0.368556,True,5.5254,5.5159,0.0095
mfcc_80,0.407118,0.0,True,0.751288,True,0.0146,-0.0056,0.0202
mfcc_81,0.472222,0.0,True,0.815664,True,0.0166,0.0182,0.0016
mfcc_82,0.460069,0.0,True,0.747307,True,0.0079,0.0233,0.0154
mfcc_83,0.480035,0.0,True,0.739029,True,0.0039,-0.002,0.0059
mfcc_84,0.480903,0.0,True,0.755753,True,0.0043,-0.0529,0.0572
mfcc_85,0.489583,0.0,True,0.786575,True,0.003,0.0134,0.0104
mfcc_86,0.519097,0.0,True,0.720476,True,0.002,-0.0947,0.0967
mfcc_87,0.509549,0.0,True,0.7967,True,0.0008,0.0508,0.05
mfcc_88,0.506944,0.0,True,0.763604,True,0.001,0.0667,0.0657
mfcc_89,0.475694,0.0,True,0.787589,True,1e-04,0.0355,0.0354
mfcc_90,0.50434,0.0,True,0.793363,True,0.0007,0.0135,0.0127
mfcc_91,0.496528,0.0,True,0.715222,True,1e-04,0.0019,0.0018
mfcc_92,0.525174,0.0,True,0.756989,True,0.0004,0.0591,0.0587
mfcc_93,0.492188,0.0,True,0.876884,True,0.0009,-0.0397,0.0406
mfcc_94,0.486111,0.0,True,0.712833,True,0.0002,0.0025,0.0023
mfcc_95,0.510417,0.0,True,0.837033,True,0.0005,0.0612,0.0607
mfcc_96,0.497396,0.0,True,0.758833,True,0.0003,0.0429,0.0426
mfcc_97,0.50434,0.0,True,0.792559,True,0.0007,0.0418,0.0411
mfcc_98,0.550347,0.0,True,0.791221,True,0.0009,-0.0792,0.0802
mfcc_99,0.493924,0.0,True,0.77731,True,0.0006,0.0412,0.0406
mfcc_100,0.518229,0.0,True,0.784108,True,-1e-04,0.0661,0.0662
mfcc_101,0.506944,0.0,True,0.774345,True,-0.0002,0.0315,0.0317
mfcc_102,0.485243,0.0,True,0.812787,True,0.0003,-0.0008,0.0011
mfcc_103,0.512153,0.0,True,0.812825,True,0.0007,0.0509,0.0502
mfcc_104,0.525174,0.0,True,0.826653,True,0.0007,-0.0653,0.0659
mfcc_105,0.493924,0.0,True,0.813819,True,0.0004,0.047,0.0466
mfcc_106,0.507812,0.0,True,0.818445,True,0.0006,-0.0121,0.0128
mfcc_107,0.50434,0.0,True,0.800534,True,0.0003,-0.0079,0.0082
mfcc_108,0.519097,0.0,True,0.759878,True,0.0002,0.0446,0.0444
mfcc_109,0.480903,0.0,True,0.821278,True,0.0006,0.0543,0.0537
mfcc_110,0.538194,0.0,True,0.815659,True,0.0009,-0.1178,0.1187
mfcc_111,0.506944,0.0,True,0.864949,True,0.0007,0.0957,0.095
mfcc_112,0.513021,0.0,True,0.74102,True,0.0006,0.0667,0.0661
mfcc_113,0.551215,0.0,True,0.794647,True,0.0007,0.0476,0.0469
mfcc_114,0.503472,0.0,True,0.777108,True,0.0004,-0.0189,0.0193
mfcc_115,0.521701,0.0,True,0.829377,True,0.0006,-0.0997,0.1003
mfcc_116,0.545139,0.0,True,0.751688,True,0.0005,-0.1531,0.1536
mfcc_117,0.498264,0.0,True,0.77667,True,1e-04,-0.0143,0.0144
mfcc_118,0.523438,0.0,True,0.786565,True,-0.0002,-0.0471,0.0469
mfcc_119,0.5,0.0,True,0.725326,True,0.0,-0.0156,0.0156
mfcc_120,0.065104,0.275783,False,0.271899,True,12.5552,12.5806,0.0254
mfcc_121,0.138021,0.000285,True,0.426967,True,6.0781,6.1353,0.0572
mfcc_122,0.157118,2.1e-05,True,0.420357,True,4.4582,4.4683,0.0101
mfcc_123,0.230035,0.0,True,0.514389,True,2.9858,3.0052,0.0194
mfcc_124,0.228299,0.0,True,0.513495,True,2.9034,2.9449,0.0415
mfcc_125,0.322917,0.0,True,0.629929,True,2.2115,2.3471,0.1356
mfcc_126,0.263889,0.0,True,0.572474,True,2.2269,2.27,0.0431
mfcc_127,0.294271,0.0,True,0.550337,True,1.9579,1.9518,0.006
mfcc_128,0.352431,0.0,True,0.695338,True,1.6533,1.6873,0.034
mfcc_129,0.326389,0.0,True,0.620521,True,1.5938,1.6481,0.0543
mfcc_130,0.338542,0.0,True,0.598825,True,1.5299,1.5189,0.011
mfcc_131,0.345486,0.0,True,0.608726,True,1.501,1.5221,0.0211
mfcc_132,0.309028,0.0,True,0.60072,True,1.4336,1.4689,0.0353
mfcc_133,0.296875,0.0,True,0.65025,True,1.3942,1.4881,0.0939
mfcc_134,0.299479,0.0,True,0.574696,True,1.3664,1.3689,0.0025
mfcc_135,0.319444,0.0,True,0.608144,True,1.3478,1.3824,0.0346
mfcc_136,0.3125,0.0,True,0.564952,True,1.3463,1.3522,0.006
mfcc_137,0.319444,0.0,True,0.566652,True,1.3291,1.3547,0.0256
mfcc_138,0.313368,0.0,True,0.636852,True,1.3408,1.3761,0.0353
mfcc_139,0.273438,0.0,True,0.597282,True,1.3408,1.3627,0.0219
mfcc_140,0.283854,0.0,True,0.540218,True,1.3726,1.3748,0.0022
mfcc_141,0.314236,0.0,True,0.520602,True,1.3565,1.3278,0.0287
mfcc_142,0.315104,0.0,True,0.450881,True,1.3517,1.2632,0.0884
mfcc_143,0.263889,0.0,True,0.55443,True,1.325,1.3996,0.0746
mfcc_144,0.296875,0.0,True,0.552582,True,1.3311,1.2775,0.0536
mfcc_145,0.271701,0.0,True,0.444256,True,1.3042,1.2976,0.0067
mfcc_146,0.248264,0.0,True,0.537594,True,1.3013,1.3394,0.0381
mfcc_147,0.232639,0.0,True,0.481118,True,1.2807,1.3424,0.0618
mfcc_148,0.324653,0.0,True,0.555772,True,1.2719,1.1408,0.131
mfcc_149,0.268229,0.0,True,0.517312,True,1.2368,1.2933,0.0565
mfcc_150,0.300347,0.0,True,0.5864,True,1.184,1.1275,0.0565
mfcc_151,0.263889,0.0,True,0.540824,True,1.1277,1.1984,0.0706
mfcc_152,0.353299,0.0,True,0.704632,True,1.0644,1.0848,0.0204
mfcc_153,0.328993,0.0,True,0.601777,True,1.0347,1.1051,0.0704
mfcc_154,0.328125,0.0,True,0.62931,True,1.041,1.0424,0.0014
mfcc_155,0.322049,0.0,True,0.684442,True,1.0185,1.06,0.0416
mfcc_156,0.296875,0.0,True,0.590347,True,0.9951,1.0079,0.0128
mfcc_157,0.350694,0.0,True,0.701142,True,0.9661,0.9398,0.0263
mfcc_158,0.381076,0.0,True,0.722921,True,0.9392,1.0082,0.0689
mfcc_159,0.394097,0.0,True,0.647607,True,0.8882,0.842,0.0463
mfcc_160,0.533854,0.0,True,0.718602,True,0.002,-0.1653,0.1673
mfcc_161,0.473958,0.0,True,0.742351,True,0.0033,-0.0146,0.0179
mfcc_162,0.519965,0.0,True,0.74797,True,0.001,-0.0946,0.0956
mfcc_163,0.497396,0.0,True,0.797494,True,-1e-04,-0.0403,0.0402
mfcc_164,0.517361,0.0,True,0.752678,True,-0.0004,-0.0364,0.036
mfcc_165,0.513021,0.0,True,0.781573,True,-0.0004,0.1114,0.1118
mfcc_166,0.498264,0.0,True,0.754691,True,-0.0004,0.0501,0.0505
mfcc_167,0.539931,0.0,True,0.767563,True,-0.0005,0.0598,0.0603
mfcc_168,0.486111,0.0,True,0.847779,True,-0.0007,-0.0804,0.0797
mfcc_169,0.493924,0.0,True,0.816809,True,-0.001,-0.0047,0.0037
mfcc_170,0.501736,0.0,True,0.852194,True,-0.0012,0.0487,0.0499
mfcc_171,0.53125,0.0,True,0.86177,True,-0.0014,-0.1107,0.1093
mfcc_172,0.517361,0.0,True,0.798222,True,-0.0013,-0.0001,0.0012
mfcc_173,0.492188,0.0,True,0.781284,True,-0.0012,0.0089,0.0101
mfcc_174,0.53559,0.0,True,0.81153,True,-0.0012,-0.0718,0.0705
mfcc_175,0.541667,0.0,True,0.774911,True,-0.0011,-0.0985,0.0974
mfcc_176,0.55816,0.0,True,0.798764,True,-0.001,-0.1014,0.1004
mfcc_177,0.555556,0.0,True,0.819295,True,-0.001,0.0541,0.0551
mfcc_178,0.506944,0.0,True,0.805052,True,-0.001,0.0108,0.0118
mfcc_179,0.5,0.0,True,0.833899,True,-0.0012,0.0042,0.0053
mfcc_180,0.52691,0.0,True,0.83429,True,-0.0008,-0.0888,0.088
mfcc_181,0.488715,0.0,True,0.781653,True,-0.0006,0.0241,0.0248
mfcc_182,0.510417,0.0,True,0.757187,True,-0.0007,-0.0788,0.0781
mfcc_183,0.506944,0.0,True,0.813707,True,-0.0008,0.0343,0.0351
mfcc_184,0.513021,0.0,True,0.831111,True,-0.0006,0.0028,0.0035
