feature,ks_statistic,ks_pvalue,ks_drift,wasserstein_dist,wasserstein_drift,ref_mean,inc_mean,mean_shift
mfcc_66,0.039062,0.865482,False,0.142602,True,8.7074,8.7593,0.0519
mfcc_67,0.034722,0.938715,False,0.119253,True,8.352,8.4194,0.0674
mfcc_68,0.037326,0.898215,False,0.126503,True,8.2784,8.2846,0.0062
mfcc_69,0.057292,0.426744,False,0.162236,True,7.9558,8.0549,0.099
mfcc_70,0.06684,0.248146,False,0.184637,True,7.7064,7.8704,0.164
mfcc_71,0.044271,0.747144,False,0.178283,True,7.18,7.3015,0.1215
mfcc_72,0.039062,0.865482,False,0.111396,True,6.7247,6.7833,0.0586
mfcc_73,0.044271,0.747144,False,0.106853,True,6.5008,6.5798,0.079
mfcc_74,0.065972,0.261698,False,0.094614,False,6.6455,6.6948,0.0493
mfcc_75,0.059896,0.371649,False,0.1024,True,6.3357,6.4002,0.0644
mfcc_76,0.054688,0.486178,False,0.146079,True,6.2807,6.3716,0.0909
mfcc_77,0.050347,0.592799,False,0.121492,True,6.0321,6.139,0.107
mfcc_78,0.045139,0.725517,False,0.0943,False,5.8646,5.8836,0.019
mfcc_79,0.056424,0.4461,False,0.097177,False,5.5254,5.496,0.0294
mfcc_80,0.045139,0.725517,False,0.00743,False,0.0146,0.0157,0.001
mfcc_81,0.045139,0.725517,False,0.0032,False,0.0166,0.0168,0.0002
mfcc_82,0.060764,0.354323,False,0.002857,False,0.0079,0.0102,0.0022
mfcc_83,0.059028,0.389502,False,0.002715,False,0.0039,0.0037,0.0002
mfcc_84,0.048611,0.637059,False,0.002191,False,0.0043,0.0034,0.0009
mfcc_85,0.053819,0.506843,False,0.001771,False,0.003,0.0033,0.0003
mfcc_86,0.079861,0.10246,False,0.002547,False,0.002,0.004,0.002
mfcc_87,0.069444,0.21062,False,0.002224,False,0.0008,0.0027,0.0019
mfcc_88,0.084201,0.073641,False,0.002332,False,0.001,0.0024,0.0014
mfcc_89,0.078993,0.109226,False,0.002341,False,1e-04,0.0024,0.0023
mfcc_90,0.065104,0.275783,False,0.001524,False,0.0007,0.0018,0.0011
mfcc_91,0.067708,0.235121,False,0.001603,False,1e-04,0.0014,0.0013
